אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,אחר,JJ
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,לחץ,VB
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,על,IN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,הוא,S_PRN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,בחוזקה,RB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אדם,NN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ש,REL
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אחז,VB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ב,PREPOSITION
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ה,DEF
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,משהו,NN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הוא,COP
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אדם,NN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ש,REL
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,לא,RB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הרפה,VB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,מ,PREPOSITION
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ה,DEF
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,דבר,NN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ב,IN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הוא,S_PRN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הוא,PRP
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אחז,VB
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),אדם,NN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),ש,REL
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),בעט,VB
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),הוא,COP
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),אדם,NN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),ש,REL
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),היכה,VB
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),ב,PREPOSITION
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),סוג,NN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),מסוים,JJ
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),של,POS
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),מכה,NNP
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),(בעיטה),NNP
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,אדם,NN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,ש,REL
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,טלטל,VB
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,דבר,NN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,מה,QW
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,הוא,COP
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,אדם,NN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,ש,REL
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,נענע,VB
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,דבר,NN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,מה,QW
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,בחוזקה,RB
לקצוב פירושו לקבוע מידה מסוימת של זמן,ל,PREPOSITION
לקצוב פירושו לקבוע מידה מסוימת של זמן,קצוב,NNT
לקצוב פירושו לקבוע מידה מסוימת של זמן,פירושו,NN
לקצוב פירושו לקבוע מידה מסוימת של זמן,לקבוע,VB
לקצוב פירושו לקבוע מידה מסוימת של זמן,מידה,NN
לקצוב פירושו לקבוע מידה מסוימת של זמן,מסוימת,JJ
לקצוב פירושו לקבוע מידה מסוימת של זמן,של,POS
לקצוב פירושו לקבוע מידה מסוימת של זמן,זמן,NN
לתחום פירושו לקבוע מידה מסוימת של שטח,ל,PREPOSITION
לתחום פירושו לקבוע מידה מסוימת של שטח,תחום,NNT
לתחום פירושו לקבוע מידה מסוימת של שטח,פירושו,NN
לתחום פירושו לקבוע מידה מסוימת של שטח,לקבוע,VB
לתחום פירושו לקבוע מידה מסוימת של שטח,מידה,NN
לתחום פירושו לקבוע מידה מסוימת של שטח,מסוימת,JJ
לתחום פירושו לקבוע מידה מסוימת של שטח,של,POS
לתחום פירושו לקבוע מידה מסוימת של שטח,שטח,NN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,כש,TEMP
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,רוצים,BN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ל,PREPOSITION
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,תחום,NNT
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,שטח,NN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,כלשהו,PRP
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,צריך,MD
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,לקבוע,VB
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,את,AT
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ה,DEF
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,תוואי,NN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ב,IN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,הוא,S_PRN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,יעברו,VB
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ה,DEF
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,גבולות,NN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,של,POS
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,הוא,S_PRN
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,על,IN
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,מנת,NNT
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,לתחום,VB
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,שטח,NN
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,כלשהו,PRP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ניתן,MD
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,להשתמש,VB
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ב,PREPOSITION
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,גדר,NN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ל,PREPOSITION
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ה,DEF
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,תחום,NN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ש,REL
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,טחח,NNP
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,פירושו,NN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ליצור,VB
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,הפרדה,NN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,בין,IN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,הוא,S_PRN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,לבין,IN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ה,DEF
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,שטח,NN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ה,REL
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,גובל,BN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ב,IN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,הוא,S_PRN
מה ששצף ביצע את הפעולה של לזרום בכוח,מה,QW
מה ששצף ביצע את הפעולה של לזרום בכוח,ש,REL
מה ששצף ביצע את הפעולה של לזרום בכוח,שצף,VB
מה ששצף ביצע את הפעולה של לזרום בכוח,ביצע,VB
מה ששצף ביצע את הפעולה של לזרום בכוח,את,AT
מה ששצף ביצע את הפעולה של לזרום בכוח,ה,DEF
מה ששצף ביצע את הפעולה של לזרום בכוח,פעולה,NN
מה ששצף ביצע את הפעולה של לזרום בכוח,של,POS
מה ששצף ביצע את הפעולה של לזרום בכוח,לזרום,VB
מה ששצף ביצע את הפעולה של לזרום בכוח,ב,PREPOSITION
מה ששצף ביצע את הפעולה של לזרום בכוח,ה,DEF
מה ששצף ביצע את הפעולה של לזרום בכוח,כוח,NN
מי שגזר ביצע את הפעולה של לחתוך,מי,QW
מי שגזר ביצע את הפעולה של לחתוך,ש,REL
מי שגזר ביצע את הפעולה של לחתוך,גזר,VB
מי שגזר ביצע את הפעולה של לחתוך,ביצע,VB
מי שגזר ביצע את הפעולה של לחתוך,את,AT
מי שגזר ביצע את הפעולה של לחתוך,ה,DEF
מי שגזר ביצע את הפעולה של לחתוך,פעולה,NN
מי שגזר ביצע את הפעולה של לחתוך,של,POS
מי שגזר ביצע את הפעולה של לחתוך,ל,PREPOSITION
מי שגזר ביצע את הפעולה של לחתוך,ה,DEF
מי שגזר ביצע את הפעולה של לחתוך,חתוך,BN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,מישהו,NN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,ש,REL
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לקח,VB
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,ל,PREPOSITION
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,עצמו,PRP
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,משהו,NN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,עשוי,MD
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,היה,COP
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לחמוד,VB
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,את,AT
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,הוא,S_PRN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לפני,IN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,כן,PRP
מי שלפת ביצע את הפעולה של לאחוז בכוח,מי,QW
מי שלפת ביצע את הפעולה של לאחוז בכוח,ש,REL
מי שלפת ביצע את הפעולה של לאחוז בכוח,ל,PREPOSITION
מי שלפת ביצע את הפעולה של לאחוז בכוח,פת,NN
מי שלפת ביצע את הפעולה של לאחוז בכוח,ביצע,VB
מי שלפת ביצע את הפעולה של לאחוז בכוח,את,AT
מי שלפת ביצע את הפעולה של לאחוז בכוח,ה,DEF
מי שלפת ביצע את הפעולה של לאחוז בכוח,פעולה,NN
מי שלפת ביצע את הפעולה של לאחוז בכוח,של,POS
מי שלפת ביצע את הפעולה של לאחוז בכוח,ל,PREPOSITION
מי שלפת ביצע את הפעולה של לאחוז בכוח,ה,DEF
מי שלפת ביצע את הפעולה של לאחוז בכוח,אחוז,NN
מי שלפת ביצע את הפעולה של לאחוז בכוח,ב,PREPOSITION
מי שלפת ביצע את הפעולה של לאחוז בכוח,כוח,NNT
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,אם,CC
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,משהו,NN
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,בער,JJ
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,ייתכן,MD
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,ש,REL
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,מישהו,PRP
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,בחר,VB
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,לשרוף,VB
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,את,AT
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,הוא,S_PRN
שבע רצון הוא אדם שחש סיפוק,שבע,CD
שבע רצון הוא אדם שחש סיפוק,רצון,NN
שבע רצון הוא אדם שחש סיפוק,הוא,COP
שבע רצון הוא אדם שחש סיפוק,אדם,NN
שבע רצון הוא אדם שחש סיפוק,ש,REL
שבע רצון הוא אדם שחש סיפוק,חש,VB
שבע רצון הוא אדם שחש סיפוק,סיפוק,NN
מנוכר הוא אדם שחש זרות,מנוכר,JJT
מנוכר הוא אדם שחש זרות,הוא,COP
מנוכר הוא אדם שחש זרות,אדם,NN
מנוכר הוא אדם שחש זרות,ש,REL
מנוכר הוא אדם שחש זרות,חש,VB
מנוכר הוא אדם שחש זרות,זרות,NN
זהיר הוא אדם שנזהר מסכנה,זהיר,JJT
זהיר הוא אדם שנזהר מסכנה,הוא,COP
זהיר הוא אדם שנזהר מסכנה,אדם,NN
זהיר הוא אדם שנזהר מסכנה,ש,REL
זהיר הוא אדם שנזהר מסכנה,נזהר,VB
זהיר הוא אדם שנזהר מסכנה,מ,PREPOSITION
זהיר הוא אדם שנזהר מסכנה,סכנה,NN
זחוח הוא אדם שאינו מתנהג בענווה,זחוח,JJT
זחוח הוא אדם שאינו מתנהג בענווה,הוא,COP
זחוח הוא אדם שאינו מתנהג בענווה,אדם,NN
זחוח הוא אדם שאינו מתנהג בענווה,ש,REL
זחוח הוא אדם שאינו מתנהג בענווה,אינו,COP
זחוח הוא אדם שאינו מתנהג בענווה,מתנהג,BN
זחוח הוא אדם שאינו מתנהג בענווה,ב,PREPOSITION
זחוח הוא אדם שאינו מתנהג בענווה,ה,DEF
זחוח הוא אדם שאינו מתנהג בענווה,ענווה,NN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אהוד,NNP
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,הוא,COP
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אדם,NN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,ש,REL
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אחרים,JJ
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,רוחשים,BN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,כלפי,IN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,הוא,S_PRN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,חיבה,NN
מאסף נמצא בסוף השיירה,מאסף,NN
מאסף נמצא בסוף השיירה,נמצא,BN
מאסף נמצא בסוף השיירה,ב,PREPOSITION
מאסף נמצא בסוף השיירה,סוף,NNT
מאסף נמצא בסוף השיירה,ה,DEF
מאסף נמצא בסוף השיירה,שיירה,NN
תא הטייס נמצא בחרטום המטוס,תא,NNT
תא הטייס נמצא בחרטום המטוס,ה,DEF
תא הטייס נמצא בחרטום המטוס,טייס,NN
תא הטייס נמצא בחרטום המטוס,נמצא,VB
תא הטייס נמצא בחרטום המטוס,ב,PREPOSITION
תא הטייס נמצא בחרטום המטוס,חרטום,NNT
תא הטייס נמצא בחרטום המטוס,ה,DEF
תא הטייס נמצא בחרטום המטוס,מטוס,NN
אמודאי הוא צוללן שיכול לצלול למעמקים,אמודאי,NN
אמודאי הוא צוללן שיכול לצלול למעמקים,הוא,COP
אמודאי הוא צוללן שיכול לצלול למעמקים,צוללן,NN
אמודאי הוא צוללן שיכול לצלול למעמקים,ש,REL
אמודאי הוא צוללן שיכול לצלול למעמקים,יכול,MD
אמודאי הוא צוללן שיכול לצלול למעמקים,לצלול,VB
אמודאי הוא צוללן שיכול לצלול למעמקים,ל,PREPOSITION
אמודאי הוא צוללן שיכול לצלול למעמקים,ה,DEF
אמודאי הוא צוללן שיכול לצלול למעמקים,מעמקים,NN
מטוס נוסע על מסלול לפני ההמראה,מטוס,NN
מטוס נוסע על מסלול לפני ההמראה,נוסע,BN
מטוס נוסע על מסלול לפני ההמראה,על,IN
מטוס נוסע על מסלול לפני ההמראה,מסלול,NN
מטוס נוסע על מסלול לפני ההמראה,לפני,IN
מטוס נוסע על מסלול לפני ההמראה,ה,DEF
מטוס נוסע על מסלול לפני ההמראה,המראה,NN
ירכתיים נמצאים בסוף (תחתית) הספינה,ירכתיים,NN
ירכתיים נמצאים בסוף (תחתית) הספינה,נמצאים,BN
ירכתיים נמצאים בסוף (תחתית) הספינה,ב,PREPOSITION
ירכתיים נמצאים בסוף (תחתית) הספינה,סוף,NNT
ירכתיים נמצאים בסוף (תחתית) הספינה,(תחתית),NNP
ירכתיים נמצאים בסוף (תחתית) הספינה,ה,DEF
ירכתיים נמצאים בסוף (תחתית) הספינה,ספינה,NN
שכתוב היא פעולה שעשה מי שכתב מחדש,שכתוב,NN
שכתוב היא פעולה שעשה מי שכתב מחדש,היא,COP
שכתוב היא פעולה שעשה מי שכתב מחדש,פעולה,NN
שכתוב היא פעולה שעשה מי שכתב מחדש,ש,REL
שכתוב היא פעולה שעשה מי שכתב מחדש,עשה,VB
שכתוב היא פעולה שעשה מי שכתב מחדש,מי,QW
שכתוב היא פעולה שעשה מי שכתב מחדש,ש,REL
שכתוב היא פעולה שעשה מי שכתב מחדש,כתב,VB
שכתוב היא פעולה שעשה מי שכתב מחדש,מחדש,RB
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,שחזור,NN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,היא,COP
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,פעולה,NN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ש,REL
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,עשה,VB
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מי,QW
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ש,REL
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,החזיר,VB
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,דבר,NN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מה,QW
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ל,PREPOSITION
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,צורתו,NN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ה,DEF
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מקורית,JJ
שעבוד היא פעולה שעשה מי שהעביד אחר,שעבוד,NN
שעבוד היא פעולה שעשה מי שהעביד אחר,היא,COP
שעבוד היא פעולה שעשה מי שהעביד אחר,פעולה,NN
שעבוד היא פעולה שעשה מי שהעביד אחר,ש,REL
שעבוד היא פעולה שעשה מי שהעביד אחר,עשה,VB
שעבוד היא פעולה שעשה מי שהעביד אחר,מי,QW
שעבוד היא פעולה שעשה מי שהעביד אחר,ש,REL
שעבוד היא פעולה שעשה מי שהעביד אחר,העביד,VB
שעבוד היא פעולה שעשה מי שהעביד אחר,אחר,VB
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,הלהיב,VB
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,הוא,COP
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,מי,QW
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,ש,REL
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,ביצע,VB
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,על,IN
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,אחר,IN
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,פעולה,NN
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,של,POS
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,שלהוב,NN
שערוך היא פעולה שעשה מי שהעריך מחדש,שערוך,NN
שערוך היא פעולה שעשה מי שהעריך מחדש,היא,COP
שערוך היא פעולה שעשה מי שהעריך מחדש,פעולה,NN
שערוך היא פעולה שעשה מי שהעריך מחדש,ש,REL
שערוך היא פעולה שעשה מי שהעריך מחדש,עשה,VB
שערוך היא פעולה שעשה מי שהעריך מחדש,מי,QW
שערוך היא פעולה שעשה מי שהעריך מחדש,ש,REL
שערוך היא פעולה שעשה מי שהעריך מחדש,העריך,VB
שערוך היא פעולה שעשה מי שהעריך מחדש,מחדש,RB
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,נושה,NN
