id,year,chapter,source,difficulty,base,base_description,option_1,option_1_desc,option_2,option_2_desc,option_3,option_3_desc,option_4,option_4_desc,correct_answer,vowelized,phrases,split
WIN19b4,WIN19,b,NITE,4,מסגרת:עדשות,מסגרת היא מבנה חיצוני אשר נועד להחזיק את עדשות המשקפיים,אדנית:זרעים,אדנית היא מכל לגידול צמחים שבו ניתן לשתול זרעים,כריכה:דפים,כריכה היא מבנה חיצוני אשר נועד להחזיק את הדפים בספר,פסנתר:קלידים,פסנתר הוא כלי נגינה בעל קלידים,ארון:בגדים,ארון הוא רהיט אחסון לבגדים,2,0,0,train
WIN18a5,WIN18,a,NITE,5,סיקל:אבן,סיקל הוא מי שסילק אבן שהפריעה לו מהשטח,ניכש:עשב,ניכש הוא מי שסילק עשב שהפריע לו מהשטח,חצב:מחצב,חצב הוא מי שהוציא מהשטח מחצב במטרה להשתמש בו,עקר:שורש,עקר הוא מי שהוציא שורש מהאדמה (וייתכן כי השתמש בו),כרת:עץ,כרת הוא מי שחתך עץ (וייתכן כי השתמש בו),1,0,0,train
15Deca5,15-Dec,a,NITE,5,לקבול:כשורה,לקבול משמעו לטעון כי משהו אינו כשורה,להכחיש:אמת,להכחיש משמעו לטעון כי משהו הוא שקר,לכפור:האשמה,לכפור משמעו להכחיש האשמה,לכפור:כפירה,לכפור משמעו לבצע כפירה,להכחיש:שקר,להכחיש משמעו לטעון כי משהו הוא שקר,1,0,0,train
16Julb4,16-Jul,b,NITE,4,חשמל:כבל חשמל,בכבל חשמל עובר חשמל,קמח:טחנת קמח,בטחנת קמח טוחנים קמח,מים:אמת מים,באמת מים עוברים מים,דלק:תחנת דלק,בתחנת דלק ממלאים דלק,עפר:דרך עפר,דרך עפר עשויה מעפר,2,0,0,train
FA20b6,FA20,b,NITE,6,בלתי נדלה:כילה,לא ייתכן שמישהו כילה דבר בלתי נדלה,בלתי יציב:ערער,ייתכן שמישהו ערער דבר בלתי יציב,בלתי נשכח:נשכח,לא ייתכן שנשכח אירוע בלתי נשכח,בלתי נמנע:אירע,אירוע שאירע מפני שלא ניתן למנוע את התרחשותו הוא אירוע בלתי נמנע,בלתי נראה:ראה,לא ייתכן שמישהו ראה דבר בלתי נראה,4,0,1,train
FA18b3,FA18,b,NITE,3,דומה לו:דמיון  ,אם מישהו דומה לו זה אומר שיש ביניהם דמיון,רחוק ממנו:מרחק,אם מישהו רחוק ממנו זה אומר שיש ביניהם מרחק,מאחוריו:מיקום,אם מישהו נמצא מאחוריו זה אומר שהמיקום שלו נמצא מאחור ביחס אליו,גדול ממנו:גודל,אם מישהו גדול ממנו זה אומר שהגודל שלו רב יותר,שייך לו:שייכות,אם מישהו שייך לו זה אומר שיש לו שייכות אליו,1,0,1,train
16Jula2,16-Jul,a,NITE,2,התבשר:בשורה,מי שהתבשר קיבל בשורה,התכתב:מכתב,מי שהתכתב החליף מכתב (מכתבים) עם אדם אחר כלומר שלח מכתבים וקיבל מכתבים,התמנה:תפקיד,מי שהתמנה קיבל תפקיד,התנדב:משימה,מי שהתנדב לקח על עצמו משימה מתוך רצון חופשי וללא תמורה,התנצל:סליחה,מי שהתנצל ביקש סליחה מאדם אחר,2,0,0,train
SU21b6,SU21,b,NITE,6,לולייני:סליל,דבר לולייני הוא דבר שצורתו היא צורת סליל,מחודד:כידון,מחודד הוא תכונתו של כידון,גבשושי:בליטה,גבשושי הוא דבר שיש לו בליטה או בליטות,מקורזל:שיער,מקורזל הוא תכונתו של שיער מתולתל,סגלגל:ביצה,דבר סגלגל הוא דבר שצורתו היא צורת ביצה,4,1,0,train
13Apra4,13-Apr,a,NITE,4,משוער:ודאי,משוער הוא משהו שהוא לא ודאי,מחַפה:חשוף,,מבואר:ברור,,מנותץ:שביר,,חלקי:ממצה,חלקי הוא משהו שהוא לא ממצה,4,0,0,train
WIN21a6,WIN21,a,NITE,6,ידע:איש אשכולות,איש אשכולות הוא כינוי לאדם שיש לו ידע בתחומים רבים מגוונים,אבן:פסיפס,פסיפס מורכב מאבן קטנות וצבעוניות המשובצות בעיצוב מסוים,סחורה:כולבו,כולבו היא חנות שיש בה סחורה מסוגים רבים ומגוונים,מים:אוקיינוס,אוקיינוס הוא ים גדול שמכיל כמויות רבות של מים,חשמל:תחנת כוח,תפקידה של תחנת כוח הוא להפיק חשמל,2,1,1,train
FA18a5,FA18,a,NITE,5,בגד:גֵּז,בגד מייצרים מהצמר אשר נאסף בגז,שמן:מסיק,שמן מייצרים מהזיתים אשר נאספים במסיק,אלומה:קציר,אלומה היא אוסף שיבולים שנאספות בקציר,יין:דריכה,יין מייצרים באמצעות דריכה על ענבים,דבש:רדייה,הוצאת הדבש מן הכוורת נקראת רדייה,1,1,0,train
13Sepb5,13-Sep,b,NITE,5,טל:אגל,אגל היא יחידה אחת של טל,גשם:שלולית,שלולית היא מצבור של הרבה טיפות גשם,חול:דיונה,דיונה מורכבת מהרבה גרגירי חול,שלג:פתית,פתית היא יחידה אחת של שלג,אוויר:משב,משב היא תנועה של אוויר,3,0,0,train
17Decb1,17-Dec,b,NITE,1,קבוע:ארעי,קבוע וארעי (זמני) הן מילים שמשמעותן הפוכה,מסעיר:אדיש,אדיש הוא מי שלא אכפת לו מדבר מה כלומר שדבר מה אינו מסעיר אותו,מקופח:הוגן,מי שמרגיש מקופח סבור שנהגו כלפיו באופן שאינו הוגן,חשאי:פומבי,חשאי ופומבי (גלוי לכל) הן מילים שמשמעותן הפוכה,חשוך:אפלולי,אפלולי הוא חשוך במידה מסוימת,3,0,0,train
FA19b6,FA19,b,NITE,6,אבוס:שוקת,אבוס הוא מתקן המשמש בעלי חיים לאכילה ושוקת היא כלי המשמש אותם לשתייה,קלשון:מזלג,קלשון הוא כלי המשמש ל הרמת חציר ומזלג הוא כלי המשמש לשתייה,כוס:ספל,כוס היא כלי המשמש לשתייה וספל הוא כלי המשמש לשתייה,קנקן:כוס,קנקן הוא כלי המשמש להגשת משקאות וכוס היא כלי המשמש לשתייה,מזלג:קשית,מזלג הוא כלי המשמש לאכילה וקשית היא כלי המשמש לשתייה,4,0,0,train
WIN19b1,WIN19,b,NITE,1,זניח:להביא בחשבון,זניח הוא דבר שאין צורך להביא בחשבון,כבוי:לדעוך,כבוי הוא דבר שסיים לדעוך שאינו דולק עוד,שביר:לשבור,שביר הוא דבר שקל לשבור,ברור:להסביר,ברור הוא דבר שאין צורך להסביר,אמין:להאמין,אמין הוא מי שניתן להאמין לו שניתן לסמוך עליו,3,0,1,train
17Sepb3,17-Sep,b,NITE,3,היכן?:למצוא,"מי ששואל ""היכן?"" עושה זאת על מנת למצוא משהו",מי?:לזהות,"מי ששואל ""מי?"" עושה זאת על מנת לזהות מישהו",מתי?:להגיע,"מי ששואל ""מתי?"" רוצה לדעת את הזמן שבו דבר מה מתרחש אולי על מנת להגיע בזמן",לאן?:לתעות,"מי ששואל ""לאן?"" עושה זאת על מנת לא לתעות",מה?:להשתאות,"מי ששואל ""מה?"" עשוי להשתאות מהתשובה אם לא ציפה לה",1,0,0,train
SU18a4,SU18,a,NITE,4,סימפוניה:יצירה מוזיקלית  ,סימפוניה היא סוג של יצירה מוזיקלית,אבטיח:פרי הדר,אבטיח אינו סוג של פרי הדר,פלג:נהר,פלג הוא נחל קטן אשר נשפך לרוב לתוך נהר,כרכרה:מכונית  ,כרכרה היא כלי תחבורה שקדם למכונית,רומח:כלי נשק,רומח הוא סוג של כלי נשק,4,0,1,train
SU20a4,SU20,a,NITE,4,התבקש:ביקש,התבקש הוא מי שאדם אחר ביקש ממנו לעשות דבר מה,התאהב:אהב,התאהב הוא מי שהחל לחוש אהבה כלפי מישהו ואהב הוא מי שחש אהבה כלפי מישהו,התנער:ניער,התנער הוא מי שניער את עצמו,התלווה:ליווה,התלווה הוא מי שהצטרף לאדם אחר בדרכו למקום כלשהו וליווה הוא מי שהלך עם אדם אחר כדי לשמור עליו,התארח:אירח,התארח הוא מי שאדם אחר אירח אותו אצלו,4,0,0,train
14Febb2,14-Feb,b,NITE,2,לחבר:נֶתֶק,לחבר פירושו לגרום להפך מנתק,לסנגר:זיכוי,לסנגר פירושו לנסות להביא זיכוי לזולת,לשבח:חיסרון,לשבח פירושו לציין לטובה את ההפך מחסרון לא לגרום להפך מחסרון,להבליג:עלבון,להבליג פירושו לא להתייחס לעלבון,לרפא:חולי,לרפא פירושו לגרום להפך מחולי,4,0,0,train
WIN20b4,WIN20,b,NITE,4,לקלף:קליפה,לקלף זה להסיר את הקליפה מדבר מה,להשריש:שורש,להשריש זה לטפל בשתיל כדי שיצמיח שורש,לאבק:אבק,לאבק זה להסיר את האבק מדבר מה,לסייד:סיד,לסייד זה לצבוע משהו בסיד,למחוק:מחק,ניתן למחוק דבר מה באמצעות מחק,2,0,0,train
16Decb6,16-Dec,b,NITE,6,נפח:ברזל,ברזל הוא חומר הגלם שאיתו עובד הנפח,גלב:תער,התער הוא כלי שבו משתמש הגלב,סוור:נמל,הנמל הוא מקום עבודתו של הסוור,בלשן:שפה,שפה היא תחום מחקרו של הבלשן,גבן:חלב,חלב הוא חומר הגלם שאיתו עובד הגבן (מי שמקצועו לייצר גבינות),4,0,0,train
14Octb6,14-Oct,b,NITE,6,להתכלות:קיים,להתכלות פירשו לעבור תהליך של התכלות אשר בסופו העובר אותו חדל מלהיות קיים,ליישב:שומם,ליישב מקום מסוים זה להעביר את המקום תהליך אשר בסופו הוא לא יהיה שומם,להיעלב:פוגע,אדם פוגע באדם אחר האדם האחר עשוי להיעלב,להתמקצע:מומחה,להתמקצע פירושו לעבור תהליך אשר בסופו העובר אותו נהיה מומחה בתחום בו התמקצע,להיטמע:חריג,להיטמע פירושו לעבור תהליך של היטמעות אשר בסופו העובר אותו חדל מלהיות חריג,4,0,0,train
13Feba1,13-Feb,a,NITE,1,דידה:הלך ,אדם שדידה הוא אדם שהלך עם מגבלה,גִּמגם:דיבר,אדם שגמגם הוא אדם שדיבר עם מגבלה,זִּמזם:שר,,מִּצמץ:קרץ,,בִּצבץ:יצא,,1,1,0,train
16Decb2,16-Dec,b,NITE,2,בריש גלי:בחשאי,מה שנעשה בריש גלי (בגלוי) אינו נעשה בחשאי,בחטף:במהירות,מה שנעשה בחטף נעשה במהירות,לאלתַר:מיד,לעשות משהו לאלתר זה לעשות אותו מיד,בעליל:בפועל,מה שנעשה בעליל נעשה באופן מובהק וברור ועל כן ככל הנראה נעשה גם בפועל,בשוגג:בזדון,מה שנעשה בשוגג (בלי כוונה) אינו נעשה בזדון,4,1,0,train
15Apra3,15-Apr,a,NITE,3,כמיהה:רוצה,אם למישהו חש כמיהה לדבר מה משמעות הדבר כי הוא רוצה אותו מאוד,סגידה:נערץ,אם מישהו נערץ אז מתבצעת לו סגידה,פרנויה:נרדף,פרנויה היא מחלת נפש היא יכולה להתבטא בתסביך רדיפה בו אדם חש נרדף,בעתה:מפחד,אם מישהו חש בעתה מדבר מה משמעות הדבר שהוא מפחד מדבר זה מאוד,תחינה:מפציר,אם מישהו מפציר באדם אחר הוא מביע תחינה שאותו אדם ימלא אחר בקשתו,3,0,0,train
17Sepb4,17-Sep,b,NITE,4,מכיר:מוכר,אם אני מכיר מישהו אז הוא מוכר עבורי,מובן:רהוט,על מי שמדבר באופן מובן נאמר שהוא מדבר באופן רהוט,צריך:נחוץ,אם אני צריך משהו אז הוא נחוץ עבורי,משוער:ודאי,אם דבר מה הוא משוער זה אומר שהוא אינו ודאי,מוגמר:סופי,אם דבר מה הוא מוגמר זה אומר שהוא בשלב הסופי שלו,2,0,0,train
WIN19b2,WIN19,b,NITE,2,להגיש:טס,ניתן להגיש בעזרת טס,לארח:אורח,לארח היא הפעולה שמבצעים כאשר יש אורח,לקמט:קמט,ניתן לקמט דבר וליצור בו קמט,לעשב:עשב,לעשב היא הפעולה שבה מוציאים עשב מהאדמה,לגהץ:מגהץ,ניתן לגהץ בעזרת מגהץ,4,0,0,train
SU18a6,SU18,a,NITE,6,"""שור!"":הביט","""שור!"" (""התבונן!"") הוא ציווי שגרם לכך שמישהו הביט",״עור!״:נם,"""עור!"" הוא ציווי שנועד עבור מי שנם",״גור!״:פחד,"""גור!"" הוא ציווי שגרם לכך שמישהו פחד",״סור!״:סילק,"""סור!"" זה מה שציווה מי שסילק אדם אחר",״תור!״:מצא,"""תור!"" הוא ציווי שגרם לכך שמישהו חיפש משהו ואולי לבסוף מצא אותו.",2,0,0,train
SU22b4,SU22,b,NITE,4,קמין:תנור,קמין הוא סוג של תנור,סנדל:מגף,סנדל הוא נעל קיצית בעוד שמגף הוא נעל חורפית,ילקוט:תיק,ילקוט הוא סוג של תיק,אהיל:מנורה,אהיל הוא כיסוי למנורה,מצקת:סיר,מצקת היא כף גדולה ועמוקה שמשמשת ליציקת נוזלים למשל סיר,2,0,0,train
16Apra2,16-Apr,a,NITE,2,משוט:עוגן,העוגן יכול למנוע את הפעולה שהמשוט יוצר,עיפרון:מחדד,המחדד דרוש כדי שהעיפרון יעבוד,ידית:מנעול,מנעול יכול למנוע את הפעולה שהידית יוצרת,מכונית:בלם,בלם משמש כדי לעצור את תנועתה של המכונית,מזלג:סכין,מזלג וסכין שניהם כלי אכילה,2,0,0,train
12Octa4,12-Oct,a,NITE,4,אדווה:נחשול,אדווה (גלים קטנים החולפים על פני מים שקטים) היא גל קטן נחשול הוא גל גדול.,משעול:דרך,,אברה:ציפור,,נחל:ערוץ,,עיירה:כרך,עיירה היא יישוב קטן כרך (עיר גדולה) הוא יישוב גדול.,4,0,0,train
WIN19a2,WIN19,a,NITE,2,לפסק:סימני פיסוק,מי שרוצה לפסק דבר מה צריך להשתמש בסימני פיסוק,להלחין:לחן,מי שרוצה להלחין רוצה ליצור לחן.,להמליח:מלח,מי שרוצה להמליח דבר מה צריך להשתמש במלח,להקציף:קצף,מי שרוצה להקציף רוצה ליצור קצף מחומר כלשהו,להפחיד:פחד,מי שרוצה להפחיד רוצה לזרוע פחד בקרב אחרים,2,0,0,train
SU18b6,SU18,b,NITE,6,מחיר:יקר ,אם למשהו יש מחיר גבוה אז הוא יקר,ודאות:ודאִי,אם יש ודאות לגבי משהו אז הוא ודאי,טַעם:טעים,אם למשהו יש טעם טוב אז הוא טעים,אומץ:אמיץ,אם למישהו יש אומץ אז הוא אמיץ,תדירות:תדיר,אם למשהו יש תדירות גבוהה אז הוא תדיר,4,1,0,train
15Julb4,15-Jul,b,NITE,4,מתי?:אז,המילה אז היא תשובה אפשרית לשאלה: מתי?,כמה?:בערך,המילה בערך מתארת את התשובה לשאלה: כמה?,היכן?:שם,המילה שם היא תשובה אפשרית לשאלה: היכן?,לאן?:כיווּן,המילה כיוון מתארת את התשובה לשאלה: לאן?,מדוע?:בְּשֶׁל,המילה בשל עשויה להתחיל את התשובה לשאלה: מדוע? ,2,1,0,train
